Sort Type: Merge Sort - By Priority Level (Descending)
KPI Code; Pillar Code; Current Progress; Target Year; Priority Level; Reporting Ministry; Quarterly Change; Priority Score;
AN-4.1-2;A;29.2;2030;5;MEW;14.8;100;
AN-3.1-2;A;22.5;2031;5;MOD;7.3;100;
AN-1.3-3;A;27.4;2032;5;MEW;11.3;100;
AN-1.3-6;A;24.0;2030;5;MFA;6.1;100;
TE-5.3-3;T;28.5;2031;5;MOC;14.4;100;
TE-3.1-4;T;21.6;2029;5;MOC;11.2;100;
TE-5.1-1;T;24.6;2031;5;MOL;7.8;100;
AN-4.2-6;A;24.6;2033;5;MEW;11.7;100;
AN-1.2-9;A;12.0;2033;5;MFA;12.8;100;
AN-5.1-7;A;5.1;2034;5;MOI;13.0;100;
AN-1.3-5;A;29.7;2034;5;MOC;14.9;100;
TE-4.3-4;T;25.5;2031;5;MOT;11.0;100;
VS-3.3-7;V;20.2;2026;5;MCI;9.6;100;
AN-2.2-1;A;28.1;2030;5;MOI;11.9;100;
AN-2.1-8;A;20.0;2034;5;MFA;8.2;100;
TE-3.1-3;T;27.6;2031;5;MOL;6.2;100;
AN-1.3-5;A;17.4;2033;5;MOD;7.6;100;
TE-1.1-8;T;24.2;2030;5;MOT;7.6;100;
TE-3.2-8;T;21.1;2030;5;MOC;10.8;100;
AN-4.1-3;A;26.7;2033;5;MFA;9.7;100;
VS-3.3-8;V;13.8;2026;5;MCI;10.9;100;
AN-5.2-5;A;14.9;2035;5;MFA;10.9;100;
AN-1.1-9;A;8.3;2032;5;MOD;7.1;100;
AN-4.2-6;A;14.5;2032;5;MFA;12.8;100;
VS-4.3-5;V;11.1;2026;5;MCY;8.0;100;
VS-5.3-9;V;28.2;2026;5;MOS;11.9;100;
AN-3.1-3;A;23.7;2031;5;MOD;11.4;100;
VS-3.2-2;V;29.9;2026;5;MCY;12.8;100;
AN-1.3-4;A;17.9;2030;5;MOC;7.6;100;
VS-3.3-1;V;21.8;2026;5;MCI;13.3;100;
AN-2.1-1;A;29.6;2033;5;MFA;10.4;100;
AN-1.3-4;A;25.0;2030;5;MFA;10.4;100;
AN-4.1-8;A;24.3;2031;5;MEW;6.5;100;
AN-4.2-8;A;28.8;2030;5;MOC;6.6;100;
VS-4.1-5;V;23.9;2029;5;MCI;9.0;100;
VS-3.1-8;V;11.2;2028;5;MCI;10.7;100;
TE-4.2-9;T;24.5;2031;5;MOL;13.9;100;
AN-5.2-3;A;11.8;2034;5;MFA;5.5;100;
VS-3.1-4;V;14.3;2028;5;MCY;11.9;100;
VS-1.3-2;V;23.9;2027;5;MOH;14.7;100;
VS-2.1-4;V;19.3;2026;5;MCY;11.0;100;
AN-4.3-3;A;8.2;2035;5;MOI;12.4;100;
AN-4.2-9;A;20.2;2032;5;MOC;14.8;100;
AN-3.3-4;A;12.7;2032;5;MOI;11.9;100;
TE-1.3-9;T;29.0;2030;5;MOC;12.3;100;
AN-4.1-8;A;8.0;2030;5;MOC;11.0;100;
VS-1.2-6;V;24.0;2028;5;MOU;13.9;100;
AN-1.3-5;A;14.4;2031;5;MEW;10.0;100;
AN-2.3-8;A;11.1;2032;5;MOD;11.4;100;
AN-1.2-6;A;20.3;2030;5;MFA;6.5;100;
AN-4.2-8;A;12.3;2035;5;MOC;7.1;100;
AN-2.3-7;A;24.1;2032;5;MOI;7.7;100;
VS-1.2-4;V;21.5;2029;5;MOS;8.3;100;
TE-5.2-7;T;22.0;2030;5;MISA;12.8;100;
AN-5.3-3;A;6.4;2031;5;MFA;6.4;100;
VS-3.3-3;V;20.8;2030;5;MCI;11.9;100;
AN-5.2-5;A;16.9;2033;5;MOC;10.4;100;
AN-1.2-9;A;10.8;2031;5;MOD;10.9;100;
AN-3.3-7;A;11.5;2034;5;MOD;7.1;100;
AN-4.1-1;A;24.0;2032;5;MFA;6.3;100;
AN-5.1-3;A;10.6;2031;5;MOI;6.0;100;
AN-2.2-2;A;16.6;2032;5;MFA;13.0;100;
TE-2.2-1;T;24.1;2029;5;MISA;14.7;100;
TE-5.1-8;T;23.7;2030;5;MOF;14.4;100;
AN-3.3-9;A;13.2;2034;5;MOC;13.8;100;
VS-3.2-4;V;13.4;2028;5;MOH;5.3;100;
AN-4.3-1;A;9.1;2032;5;MEW;11.8;100;
AN-1.3-5;A;6.1;2033;5;MEW;11.3;100;
AN-5.3-7;A;24.5;2033;5;MOI;11.2;100;
VS-3.2-3;V;28.4;2027;5;MCI;6.9;100;
AN-1.3-5;A;18.4;2035;5;MOI;12.6;100;
AN-5.1-3;A;7.8;2031;5;MOD;5.9;100;
AN-1.3-1;A;12.7;2031;5;MOC;11.3;100;
VS-4.3-7;V;21.0;2026;5;MCY;12.0;100;
VS-2.2-8;V;28.7;2030;5;MCI;14.3;100;
AN-1.3-5;A;13.2;2030;5;MEW;9.2;100;
TE-5.1-9;T;20.7;2031;5;MOT;11.4;100;
AN-3.3-3;A;13.7;2032;5;MOC;11.0;100;
AN-2.3-3;A;22.3;2035;5;MOD;5.2;100;
AN-2.1-4;A;16.3;2031;5;MOI;9.1;100;
AN-1.3-9;A;6.6;2032;5;MOI;14.3;100;
AN-3.2-9;A;7.7;2034;5;MOD;9.3;100;
TE-5.1-7;T;20.6;2031;5;MOF;14.7;100;
VS-5.2-8;V;26.4;2028;5;MCI;13.3;100;
TE-5.1-9;T;28.6;2030;5;MOT;10.3;100;
VS-1.2-5;V;11.5;2026;5;MCY;11.5;100;
TE-5.3-8;T;20.3;2031;5;MOL;7.5;100;
AN-3.3-2;A;26.5;2032;5;MOD;11.1;100;
AN-4.3-4;A;17.9;2035;5;MEW;12.0;100;
AN-5.1-7;A;12.2;2031;5;MOI;5.1;100;
VS-1.3-1;V;10.5;2029;5;MCI;9.5;100;
AN-2.2-4;A;21.3;2032;5;MOI;10.7;100;
VS-3.1-4;V;24.1;2028;5;MCY;13.5;100;
AN-3.3-9;A;5.2;2035;5;MOC;11.1;100;
VS-5.2-3;V;21.1;2028;5;MOU;11.9;100;
AN-5.1-6;A;7.3;2032;5;MFA;11.0;100;
TE-3.1-7;T;25.7;2029;5;MISA;12.8;100;
AN-4.1-6;A;20.2;2035;5;MFA;10.2;100;
AN-5.3-1;A;28.2;2035;5;MOD;5.0;100;
VS-3.3-6;V;15.1;2027;5;MCY;10.6;100;
AN-3.2-5;A;25.1;2030;5;MEW;9.1;100;
AN-3.1-7;A;7.3;2032;5;MOI;13.2;100;
VS-3.1-7;V;16.0;2026;5;MCY;11.4;100;
AN-1.3-7;A;29.7;2034;5;MOI;11.2;100;
VS-4.1-6;V;14.5;2027;5;MOS;13.9;100;
AN-2.3-4;A;8.1;2032;5;MOD;12.5;100;
AN-3.2-9;A;24.8;2033;5;MOI;14.8;100;
AN-1.1-6;A;12.8;2030;5;MOD;12.3;100;
VS-2.3-3;V;21.5;2030;5;MOH;6.0;100;
VS-5.2-1;V;22.1;2029;5;MCI;14.2;100;
AN-2.3-4;A;22.5;2035;5;MOC;14.7;100;
AN-2.2-2;A;5.8;2032;5;MFA;12.0;100;
TE-2.2-2;T;24.8;2030;5;MOC;9.6;100;
AN-2.1-8;A;9.5;2035;5;MEW;7.0;100;
AN-1.3-1;A;16.7;2034;5;MOD;8.7;100;
TE-1.3-3;T;21.1;2029;5;MOL;5.6;100;
AN-3.2-6;A;20.3;2035;5;MOD;5.7;100;
TE-5.1-5;T;26.6;2031;5;MOL;10.2;100;
AN-2.1-4;A;11.3;2031;5;MOD;12.7;100;
AN-4.1-2;A;29.3;2033;5;MOD;6.0;100;
VS-2.3-7;V;18.8;2026;5;MOH;8.9;100;
VS-1.2-6;V;25.6;2026;5;MCI;10.1;100;
AN-1.3-1;A;11.5;2035;5;MEW;13.0;100;
TE-2.1-8;T;29.6;2031;5;MISA;13.3;100;
AN-1.2-2;A;5.7;2032;5;MOD;11.3;100;
TE-1.3-8;T;27.2;2030;5;MISA;6.8;100;
AN-4.1-2;A;24.6;2034;5;MOC;14.0;100;
TE-3.1-2;T;22.0;2031;5;MOL;12.2;100;
VS-1.2-2;V;18.7;2026;5;MOU;11.0;100;
AN-1.3-6;A;10.4;2035;5;MOI;10.0;100;
AN-3.3-5;A;6.9;2031;5;MOD;13.4;100;
AN-2.3-2;A;22.4;2032;5;MFA;12.4;100;
VS-1.2-8;V;19.2;2027;5;MOH;5.5;100;
TE-4.1-2;T;24.9;2030;5;MOC;11.4;100;
VS-3.1-9;V;27.7;2026;5;MOU;13.8;100;
AN-1.1-1;A;28.9;2035;5;MOI;10.7;100;
AN-4.1-4;A;13.9;2033;5;MOC;12.3;100;
AN-1.1-7;A;6.0;2031;5;MOI;7.8;100;
VS-3.2-2;V;21.5;2028;5;MOH;6.6;100;
TE-4.3-6;T;21.5;2029;5;MOT;12.9;100;
AN-1.2-1;A;24.8;2035;5;MOC;10.9;100;
AN-1.1-5;A;20.6;2034;5;MOD;11.7;100;
AN-1.3-7;A;9.6;2032;5;MOC;8.7;100;
AN-4.3-4;A;25.3;2030;5;MEW;5.1;100;
VS-3.3-3;V;14.1;2026;5;MCY;11.5;100;
VS-3.3-9;V;18.1;2028;5;MOU;10.3;100;
AN-1.3-6;A;8.1;2035;5;MOD;5.5;100;
TE-3.1-6;T;27.9;2030;5;MOL;14.5;100;
AN-4.3-7;A;20.6;2030;5;MOI;14.6;100;
AN-2.1-8;A;17.1;2033;5;MOI;5.5;100;
VS-2.2-8;V;21.8;2028;5;MCY;9.2;100;
VS-5.2-4;V;19.8;2027;5;MCY;9.0;100;
TE-4.2-4;T;24.9;2031;5;MOT;11.3;100;
AN-4.1-7;A;16.2;2034;5;MOI;5.1;100;
VS-4.3-6;V;26.7;2029;5;MOH;9.2;100;
AN-2.1-9;A;28.0;2031;5;MEW;10.7;100;
AN-2.2-7;A;23.3;2030;5;MOD;5.6;100;
AN-4.1-5;A;13.9;2032;5;MFA;14.2;100;
AN-1.3-2;A;19.3;2035;5;MOI;13.3;100;
VS-5.1-5;V;12.5;2027;5;MCI;7.6;100;
VS-2.3-2;V;17.5;2026;5;MOU;9.8;100;
AN-1.1-2;A;27.6;2034;5;MEW;13.4;100;
VS-1.2-2;V;21.2;2028;5;MOU;13.1;100;
AN-3.1-1;A;27.0;2035;5;MOD;10.0;100;
AN-2.1-7;A;12.6;2031;5;MOD;13.3;100;
VS-1.1-1;V;22.1;2029;5;MCI;13.3;100;
TE-1.1-9;T;28.9;2029;5;MOF;6.3;100;
AN-3.2-9;A;16.6;2033;5;MOC;14.1;100;
VS-1.1-1;V;27.2;2030;5;MCY;14.6;100;
AN-3.3-7;A;14.2;2034;5;MOD;11.3;100;
AN-1.1-3;A;19.6;2035;5;MEW;5.1;100;
VS-2.2-2;V;20.5;2026;5;MOS;5.2;100;
VS-3.2-5;V;12.3;2027;5;MOS;10.3;100;
AN-4.3-3;A;6.6;2033;5;MOC;13.6;100;
TE-5.3-2;T;25.8;2030;5;MISA;7.5;100;
VS-1.1-6;V;19.0;2026;5;MOU;6.9;100;
AN-3.1-4;A;7.0;2034;5;MOD;13.9;100;
AN-4.1-7;A;24.1;2035;5;MOD;6.8;100;
AN-3.3-3;A;29.1;2031;5;MOI;14.9;100;
VS-1.2-9;V;27.1;2028;5;MOU;8.4;100;
AN-3.3-2;A;6.6;2034;5;MOI;6.3;100;
TE-1.2-5;T;22.1;2029;5;MISA;8.7;100;
TE-5.1-1;T;26.9;2030;5;MISA;13.7;100;
AN-5.1-5;A;8.1;2030;5;MOC;12.6;100;
AN-4.2-6;A;8.4;2032;5;MOD;9.6;100;
VS-3.1-6;V;14.5;2030;5;MOH;9.7;100;
AN-3.3-2;A;25.9;2030;5;MFA;11.6;100;
VS-2.1-3;V;14.6;2028;5;MCY;7.5;100;
AN-4.3-9;A;24.0;2033;5;MOC;11.1;100;
AN-3.3-9;A;10.6;2034;5;MOD;14.7;100;
VS-1.2-6;V;18.9;2029;5;MOU;14.0;100;
AN-3.2-8;A;26.1;2035;5;MEW;14.2;100;
TE-5.3-4;T;29.1;2029;5;MISA;7.6;100;
VS-1.1-8;V;14.2;2027;5;MOU;5.1;100;
TE-2.2-7;T;29.7;2031;5;MOL;11.0;100;
VS-4.3-1;V;20.5;2026;5;MCY;9.2;100;
AN-4.3-4;A;11.0;2034;5;MOI;14.4;100;
AN-4.2-5;A;20.7;2035;5;MOC;6.5;100;
VS-3.1-8;V;26.5;2029;5;MOU;9.2;100;
AN-1.3-1;A;21.1;2035;5;MOD;7.5;100;
TE-1.1-5;T;25.4;2030;5;MOC;6.4;100;
AN-5.2-8;A;29.3;2031;5;MFA;5.7;100;
AN-5.2-6;A;17.8;2031;5;MOC;10.4;100;
AN-4.2-2;A;26.3;2030;5;MOC;14.0;100;
AN-2.1-8;A;29.6;2031;5;MEW;10.9;100;
VS-5.2-6;V;18.5;2028;5;MOH;10.7;100;
TE-2.1-6;T;28.7;2029;5;MOF;10.2;100;
AN-5.1-8;A;8.3;2031;5;MOD;7.4;100;
AN-2.2-3;A;10.6;2035;5;MOI;13.6;100;
TE-4.2-5;T;27.9;2030;5;MOF;7.2;100;
VS-2.3-5;V;15.0;2026;5;MOS;10.4;100;
VS-3.3-9;V;25.1;2026;5;MCI;14.5;100;
VS-4.1-8;V;25.7;2030;5;MCY;6.1;100;
AN-4.1-9;A;21.9;2034;5;MOC;8.6;100;
VS-4.3-7;V;27.1;2026;5;MCY;14.7;100;
VS-3.3-4;V;23.4;2029;5;MOS;11.8;100;
AN-4.1-8;A;19.1;2035;5;MEW;6.4;100;
VS-3.1-8;V;13.5;2030;5;MOU;9.8;100;
TE-5.3-2;T;23.7;2030;5;MISA;8.7;100;
VS-4.3-5;V;27.7;2026;5;MOH;13.9;100;
TE-4.1-1;T;20.4;2030;5;MISA;6.5;100;
TE-4.2-6;T;25.2;2031;5;MOC;10.8;100;
VS-4.1-4;V;16.9;2027;5;MCY;11.7;100;
AN-4.1-3;A;9.9;2032;5;MOI;7.8;100;
AN-1.1-3;A;16.2;2031;5;MOC;6.4;100;
AN-2.1-6;A;16.7;2032;5;MFA;9.7;100;
AN-3.3-8;A;27.3;2032;5;MOD;7.4;100;
AN-5.3-9;A;18.9;2032;5;MEW;7.8;100;
TE-1.1-8;T;21.0;2030;5;MOC;6.5;100;
AN-1.3-4;A;15.8;2033;5;MOD;9.9;100;
TE-1.3-8;T;26.0;2031;5;MISA;6.1;100;
AN-4.1-6;A;27.3;2031;5;MFA;5.3;100;
AN-4.3-3;A;29.0;2031;5;MOD;6.2;100;
TE-2.3-8;T;21.3;2029;5;MOL;10.9;100;
AN-5.1-4;A;13.6;2035;5;MFA;10.4;100;
AN-3.2-4;A;19.2;2031;5;MEW;9.6;100;
VS-1.1-3;V;19.0;2028;5;MCY;7.4;100;
AN-4.3-1;A;19.9;2033;5;MFA;10.5;100;
AN-5.3-8;A;5.9;2031;5;MOD;5.7;100;
AN-5.3-7;A;16.2;2031;5;MOC;9.1;100;
AN-2.3-6;A;21.3;2035;5;MOD;6.7;100;
AN-1.3-9;A;6.7;2031;5;MFA;8.6;100;
TE-4.2-8;T;20.4;2031;5;MOL;10.1;100;
AN-4.3-9;A;13.1;2030;5;MFA;14.0;100;
VS-2.1-6;V;13.1;2026;5;MOS;10.3;100;
AN-5.1-6;A;20.5;2033;5;MFA;7.9;100;
AN-1.2-4;A;10.7;2033;5;MOC;7.6;100;
VS-5.2-7;V;12.2;2029;5;MOS;9.1;100;
VS-3.2-6;V;16.0;2029;5;MOS;8.7;100;
AN-2.1-1;A;24.9;2034;5;MOD;6.3;100;
AN-4.3-3;A;26.3;2031;5;MOC;8.0;100;
AN-4.3-1;A;5.1;2033;5;MEW;10.8;100;
AN-2.3-6;A;24.5;2033;5;MOC;13.6;100;
AN-5.1-9;A;28.1;2030;5;MOD;13.1;100;
AN-3.2-3;A;5.8;2035;5;MOD;9.4;100;
VS-3.1-6;V;21.6;2029;5;MOS;5.3;100;
AN-3.3-1;A;7.8;2034;5;MOD;5.7;100;
VS-3.3-3;V;16.5;2027;5;MCI;14.9;100;
VS-3.3-7;V;25.0;2029;5;MOH;11.8;100;
AN-4.2-3;A;26.5;2030;5;MOC;5.4;100;
VS-5.3-4;V;12.4;2026;5;MOS;9.9;100;
TE-5.3-7;T;25.3;2029;5;MOC;12.5;100;
AN-3.1-1;A;27.2;2030;5;MOD;13.8;100;
AN-3.1-8;A;13.4;2030;5;MOC;13.6;100;
VS-2.2-1;V;27.4;2027;5;MOS;10.3;100;
VS-5.2-8;V;23.4;2028;5;MCY;7.5;100;
VS-4.2-7;V;15.7;2026;5;MCI;6.7;100;
VS-4.3-1;V;28.4;2028;5;MCI;5.4;100;
TE-3.1-7;T;25.0;2030;5;MOT;12.3;100;
TE-3.2-9;T;21.5;2031;5;MOL;6.4;100;
VS-5.1-2;V;17.5;2030;5;MOH;11.4;100;
VS-2.1-4;V;17.6;2029;5;MOS;11.8;100;
AN-3.1-5;A;13.1;2035;5;MFA;5.5;100;
VS-3.1-8;V;18.0;2028;5;MOS;10.2;100;
TE-1.1-9;T;28.2;2031;5;MOL;8.5;100;
VS-3.2-6;V;12.0;2029;5;MOH;11.0;100;
VS-3.1-3;V;13.9;2027;5;MCI;6.2;100;
AN-4.2-2;A;10.0;2035;5;MOD;8.9;100;
AN-1.1-6;A;11.2;2034;5;MFA;8.5;100;
AN-3.2-1;A;22.3;2032;5;MFA;10.5;100;
VS-3.2-3;V;27.9;2027;5;MOS;9.1;100;
AN-1.3-5;A;7.6;2033;5;MOD;12.5;100;
AN-5.2-4;A;10.0;2035;5;MEW;11.3;100;
VS-5.1-8;V;21.3;2026;5;MOS;11.6;100;
AN-5.1-6;A;27.0;2035;5;MEW;11.0;100;
AN-2.3-7;A;5.3;2031;5;MOC;6.2;100;
TE-5.2-7;T;21.9;2031;5;MOC;11.4;100;
AN-4.3-4;A;21.2;2032;5;MEW;8.8;100;
TE-4.1-6;T;25.5;2029;5;MOF;10.1;100;
AN-5.2-9;A;5.3;2035;5;MFA;12.4;100;
VS-2.2-1;V;26.9;2028;5;MOS;6.8;100;
AN-5.2-3;A;26.6;2032;5;MOI;7.8;100;
AN-5.3-9;A;19.4;2030;5;MEW;13.6;100;
TE-2.3-9;T;20.7;2029;5;MOF;10.8;100;
AN-2.1-6;A;19.2;2034;5;MOI;11.3;100;
AN-1.2-3;A;15.7;2032;5;MOC;5.8;100;
AN-1.3-2;A;22.2;2031;5;MEW;8.0;100;
VS-3.2-3;V;11.7;2028;5;MOU;7.2;100;
AN-1.2-9;A;13.7;2035;5;MOI;11.5;100;
AN-5.1-2;A;7.6;2034;5;MOC;9.2;100;
TE-4.1-9;T;24.8;2030;5;MOF;14.6;100;
AN-3.2-7;A;9.3;2031;5;MOC;13.8;100;
AN-5.3-6;A;28.5;2033;5;MOD;9.0;100;
AN-1.2-5;A;15.9;2034;5;MEW;14.4;100;
AN-1.3-4;A;5.2;2034;5;MOI;6.4;100;
AN-3.3-2;A;7.5;2033;5;MOD;7.1;100;
AN-5.2-5;A;14.7;2030;5;MOI;13.1;100;
AN-2.2-8;A;22.9;2030;5;MOD;5.8;100;
AN-5.3-2;A;21.9;2033;5;MEW;8.3;100;
AN-2.1-6;A;21.1;2034;5;MEW;11.0;100;
AN-3.2-5;A;12.3;2033;5;MOD;10.9;100;
AN-1.2-6;A;27.0;2034;5;MOI;10.7;100;
VS-3.2-8;V;14.6;2030;5;MOH;5.6;100;
AN-1.2-4;A;11.5;2035;5;MOI;14.8;100;
AN-5.2-4;A;18.9;2030;5;MOC;13.8;100;
VS-4.2-7;V;12.5;2026;5;MCY;6.7;100;
AN-4.2-6;A;10.8;2032;5;MFA;6.1;100;
AN-2.2-8;A;23.3;2031;5;MEW;9.5;100;
AN-2.3-9;A;22.5;2030;5;MFA;10.7;100;
VS-1.1-9;V;23.3;2026;5;MOU;6.2;100;
VS-5.3-2;V;27.2;2030;5;MOU;6.0;100;
TE-2.2-5;T;25.4;2029;5;MOF;8.9;100;
AN-2.2-5;A;14.3;2032;5;MFA;13.1;100;
AN-4.2-7;A;21.6;2032;5;MOC;6.8;100;
AN-1.3-3;A;28.4;2033;5;MOD;6.2;100;
VS-4.2-3;V;10.3;2027;5;MCI;5.5;100;
TE-1.2-3;T;21.2;2030;5;MISA;11.0;100;
VS-1.2-2;V;29.7;2029;5;MOU;8.7;100;
VS-4.2-6;V;29.6;2028;5;MCY;6.3;100;
TE-4.3-9;T;28.3;2030;5;MOC;8.4;100;
VS-3.1-7;V;17.1;2026;5;MCI;10.2;100;
AN-3.1-7;A;24.2;2035;5;MFA;7.4;100;
AN-3.3-5;A;24.8;2034;5;MOI;7.7;100;
AN-1.1-1;A;15.3;2030;5;MFA;6.3;100;
AN-4.2-5;A;29.3;2030;5;MOD;7.3;100;
AN-3.3-4;A;25.0;2034;5;MEW;12.5;100;
AN-1.3-1;A;26.2;2032;5;MFA;14.1;100;
AN-2.3-9;A;15.4;2032;5;MOI;9.8;100;
AN-5.3-5;A;25.7;2032;5;MOI;11.5;100;
VS-3.2-4;V;12.6;2028;5;MOH;9.8;100;
VS-3.1-3;V;14.4;2026;5;MCY;8.0;100;
AN-5.3-1;A;5.8;2034;5;MFA;11.3;100;
AN-1.2-4;A;14.5;2035;5;MEW;9.0;100;
AN-1.3-2;A;26.6;2033;5;MEW;11.6;100;
AN-1.1-7;A;6.5;2030;5;MOC;14.5;100;
AN-4.3-9;A;6.2;2033;5;MEW;11.2;100;
AN-2.3-8;A;15.6;2030;5;MOC;13.5;100;
TE-1.3-7;T;28.0;2029;5;MOC;5.7;100;
AN-4.1-5;A;16.1;2030;5;MEW;7.3;100;
AN-4.1-4;A;15.3;2033;5;MEW;5.1;100;
VS-1.1-9;V;29.7;2026;5;MCI;10.9;100;
VS-2.1-7;V;15.1;2027;5;MOU;9.5;100;
VS-1.2-5;V;15.7;2030;5;MCI;9.2;100;
VS-4.3-7;V;13.8;2027;5;MOU;12.5;100;
AN-5.1-2;A;27.4;2033;5;MOI;8.8;100;
AN-5.1-3;A;8.6;2032;5;MOC;13.4;100;
TE-4.3-2;T;28.4;2030;5;MISA;13.4;100;
AN-1.3-2;A;25.3;2030;5;MEW;12.0;100;
TE-4.3-3;T;26.9;2029;5;MOF;11.9;100;
VS-2.2-8;V;30.0;2026;5;MOU;7.7;100;
AN-2.1-6;A;16.6;2031;5;MEW;9.8;100;
AN-3.1-1;A;10.0;2032;5;MFA;13.5;100;
VS-3.1-7;V;25.6;2030;5;MOH;14.9;100;
AN-5.3-2;A;25.3;2035;5;MFA;5.3;100;
VS-2.2-3;V;19.1;2026;5;MCI;11.0;100;
TE-1.2-4;T;20.3;2030;5;MOF;6.3;100;
TE-3.1-4;T;28.1;2030;5;MOC;13.2;100;
VS-5.3-9;V;19.9;2026;5;MCI;9.1;100;
AN-1.1-5;A;13.2;2034;5;MEW;14.5;100;
TE-4.3-7;T;22.1;2030;5;MOL;10.0;100;
AN-4.3-5;A;6.8;2033;5;MFA;9.8;100;
VS-4.2-9;V;14.2;2027;5;MCI;9.8;100;
AN-3.3-7;A;12.1;2034;5;MOD;7.4;100;
TE-4.2-1;T;24.3;2031;5;MOC;10.0;100;
TE-1.2-7;T;20.1;2031;5;MISA;12.9;100;
AN-4.2-8;A;26.1;2030;5;MFA;5.4;100;
AN-5.3-1;A;14.5;2030;5;MEW;8.2;100;
VS-3.2-6;V;28.4;2026;5;MCI;11.6;100;
VS-5.1-4;V;18.7;2028;5;MOU;6.5;100;
VS-1.2-3;V;16.2;2026;5;MOS;13.3;100;
AN-1.1-2;A;22.9;2033;5;MOD;5.2;100;
AN-5.2-1;A;6.6;2035;5;MEW;14.1;100;
TE-5.3-7;T;29.3;2030;5;MISA;9.5;100;
VS-5.1-2;V;10.5;2027;5;MOH;7.0;100;
VS-4.3-3;V;14.3;2026;5;MOU;14.5;100;
VS-3.2-8;V;17.4;2027;5;MOU;10.0;100;
AN-4.3-9;A;12.2;2035;5;MFA;6.2;100;
TE-1.2-6;T;27.9;2030;5;MISA;11.8;100;
AN-1.2-9;A;22.2;2032;5;MOI;14.2;100;
AN-5.2-3;A;15.6;2030;5;MFA;6.5;100;
TE-1.3-8;T;28.1;2029;5;MOL;11.9;100;
AN-1.3-1;A;9.3;2034;5;MOI;14.4;100;
AN-3.1-6;A;26.1;2032;5;MOC;8.8;100;
AN-2.1-5;A;24.4;2035;5;MOC;10.0;100;
TE-1.1-2;T;41.7;2029;4;MOL;-5.0;100;
VS-4.3-6;V;31.4;2029;4;MCI;-3.2;100;
TE-5.1-7;T;49.0;2029;4;MISA;-0.7;100;
TE-4.3-8;T;47.1;2031;4;MISA;-6.3;100;
AN-4.2-9;A;38.3;2031;4;MOD;-9.8;100;
VS-2.1-8;V;36.8;2029;4;MOH;2.6;95;
AN-2.1-1;A;35.7;2033;4;MOC;4.0;95;
AN-3.1-1;A;34.6;2033;4;MOD;0.6;95;
AN-4.1-4;A;51.5;2032;4;MEW;7.2;95;
TE-2.3-4;T;45.9;2031;4;MOF;-7.4;100;
AN-1.3-3;A;32.3;2035;4;MOC;-5.5;100;
AN-5.1-6;A;34.9;2034;4;MOI;-8.3;100;
VS-1.1-3;V;34.3;2029;4;MOH;-9.5;100;
TE-1.1-5;T;34.7;2029;4;MOF;3.5;100;
AN-4.3-9;A;40.1;2030;4;MOC;-2.4;100;
TE-3.2-8;T;35.5;2030;4;MOL;-9.6;100;
AN-3.1-7;A;32.7;2034;4;MOI;-4.9;100;
AN-4.2-6;A;36.9;2031;4;MOD;5.3;100;
TE-3.1-9;T;49.0;2030;4;MOT;-9.3;100;
TE-2.2-9;T;37.9;2030;4;MOT;-5.6;100;
TE-4.1-9;T;33.0;2030;4;MOL;-3.6;100;
AN-5.1-2;A;53.5;2031;4;MOI;8.0;100;
AN-1.2-7;A;51.2;2033;4;MOI;9.6;95;
AN-1.1-7;A;53.6;2033;4;MFA;-1.4;100;
VS-1.3-3;V;37.5;2026;4;MOU;-2.5;100;
VS-5.3-2;V;35.5;2028;4;MCY;7.5;100;
VS-4.3-7;V;46.3;2026;4;MOU;3.5;100;
AN-2.1-5;A;51.2;2035;4;MOD;8.0;95;
AN-2.2-6;A;34.8;2031;4;MOC;4.5;100;
TE-2.2-9;T;37.5;2029;4;MISA;3.6;100;
TE-2.3-2;T;48.9;2031;4;MOC;-3.8;100;
AN-4.3-6;A;49.2;2030;4;MOI;-7.0;100;
VS-3.3-1;V;38.2;2030;4;MOH;-4.4;100;
AN-4.2-4;A;35.0;2031;4;MOC;-7.3;100;
TE-1.1-4;T;43.5;2029;4;MISA;6.1;100;
VS-3.1-8;V;46.0;2030;4;MCI;-5.4;100;
TE-4.3-4;T;44.7;2031;4;MOL;2.8;100;
VS-2.3-2;V;36.9;2029;4;MOU;-9.0;100;
AN-3.1-2;A;31.9;2032;4;MFA;9.8;95;
TE-2.1-3;T;32.6;2029;4;MOC;-1.9;100;
VS-2.2-9;V;39.1;2027;4;MCI;9.7;100;
AN-4.3-4;A;41.3;2034;4;MOC;-9.5;100;
VS-1.1-7;V;36.1;2029;4;MCY;-0.2;100;
TE-2.1-1;T;33.6;2029;4;MOF;4.7;100;
VS-4.3-1;V;45.3;2026;4;MOS;4.7;100;
AN-4.3-1;A;48.0;2033;4;MOI;-4.3;100;
VS-1.1-5;V;40.2;2029;4;MCI;-9.6;100;
VS-4.3-4;V;38.2;2028;4;MOS;1.5;100;
TE-4.3-3;T;42.9;2029;4;MOF;2.5;100;
VS-4.1-1;V;30.8;2027;4;MOU;1.3;100;
AN-2.2-8;A;46.5;2033;4;MFA;-9.9;100;
TE-2.1-1;T;45.1;2030;4;MOT;2.8;100;
AN-1.3-4;A;30.0;2033;4;MOD;5.4;95;
TE-2.1-6;T;45.5;2031;4;MOF;6.3;100;
